event_id,timestamp,src_ip,dst_ip,src_port,dst_port,service,tier,vantage,source_dataset,campaign_id,kill_chain_stage,attack_type,is_campaign_link,scenario,phase,event_count,predicted_attack_type,predicted_kill_chain_stage,dqn_predicted_cluster,baseline_predicted_cluster
LLS_DDOS_1.0_dmz_p2_11,2000-03-07 10:11:08,202.77.162.213,172.16.114.30,653.0,32772.0,32772/u,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,2,1,recon,recon,5,0
LLS_DDOS_1.0_dmz_p2_12,2000-03-07 10:11:09,202.77.162.213,172.16.114.50,653.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,2,1,recon,recon,5,0
LLS_DDOS_1.0_dmz_p2_13,2000-03-07 10:11:09,172.16.114.50,202.77.162.213,,,dur/i,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,2,1,recon,recon,3,0
LLS_DDOS_1.0_dmz_p2_14,2000-03-07 10:11:09,202.77.162.213,172.16.113.1,654.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,2,1,recon,recon,5,0
LLS_DDOS_1.0_dmz_p2_15,2000-03-07 10:12:09,202.77.162.213,172.16.113.50,655.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,2,1,recon,recon,5,0
LLS_DDOS_1.0_dmz_p2_16,2000-03-07 10:12:09,202.77.162.213,172.16.113.105,656.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,2,1,recon,recon,5,0
LLS_DDOS_1.0_dmz_p2_17,2000-03-07 10:13:09,202.77.162.213,172.16.113.148,657.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,2,1,recon,recon,5,0
LLS_DDOS_1.0_dmz_p2_18,2000-03-07 10:14:09,202.77.162.213,172.16.112.1,658.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,2,1,recon,recon,5,0
LLS_DDOS_1.0_dmz_p2_19,2000-03-07 10:15:10,202.77.162.213,172.16.112.10,659.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,LLS_DDOS_1.0,recon,recon,True,LLS_DDOS_1.0,2,1,recon,recon,5,0
LLS_DDOS_1.0_dmz_p2_20,2000-03-07 10:15:10,202.77.162.213,172.16.112.10,660.0,56255.0,56255/u,network,dmz,darpa2000_lldos1.0,LLS_DDOS_1.0,recon,recon,True,LLS_DDOS_1.0,2,1,recon,recon,5,0
LLS_DDOS_1.0_dmz_p2_21,2000-03-07 10:15:10,202.77.162.213,172.16.112.50,660.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,LLS_DDOS_1.0,recon,recon,True,LLS_DDOS_1.0,2,1,recon,recon,0,0
LLS_DDOS_1.0_dmz_p2_22,2000-03-07 10:15:10,202.77.162.213,172.16.112.50,661.0,56261.0,56261/u,network,dmz,darpa2000_lldos1.0,LLS_DDOS_1.0,recon,recon,True,LLS_DDOS_1.0,2,1,recon,recon,0,0
LLS_DDOS_1.0_dmz_p2_23,2000-03-07 10:15:10,202.77.162.213,172.16.112.100,661.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,2,1,recon,recon,0,0
LLS_DDOS_1.0_dmz_p2_24,2000-03-07 10:16:10,202.77.162.213,172.16.112.105,662.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,2,1,recon,recon,0,0
LLS_DDOS_1.0_dmz_p2_25,2000-03-07 10:17:10,202.77.162.213,172.16.112.194,663.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,recon,recon,False,LLS_DDOS_1.0,2,1,recon,recon,0,0
LLS_DDOS_1.0_dmz_p3_1,2000-03-07 10:33:10,202.77.162.213,172.16.115.20,667.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,LLS_DDOS_1.0,exploit,exploit,True,LLS_DDOS_1.0,3,1,exploit,exploit,0,0
LLS_DDOS_1.0_dmz_p3_2,2000-03-07 10:33:10,202.77.162.213,172.16.115.20,668.0,60250.0,60250/u,network,dmz,darpa2000_lldos1.0,LLS_DDOS_1.0,exploit,exploit,True,LLS_DDOS_1.0,3,1,exploit,exploit,0,0
LLS_DDOS_1.0_dmz_p3_3,2000-03-07 10:33:12,202.77.162.213,172.16.115.20,668.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,LLS_DDOS_1.0,exploit,exploit,True,LLS_DDOS_1.0,3,1,exploit,exploit,0,0
LLS_DDOS_1.0_dmz_p3_4,2000-03-07 10:33:12,202.77.162.213,172.16.115.20,669.0,60254.0,60254/u,network,dmz,darpa2000_lldos1.0,LLS_DDOS_1.0,exploit,exploit,True,LLS_DDOS_1.0,3,1,exploit,exploit,0,0
LLS_DDOS_1.0_dmz_p3_5,2000-03-07 10:33:14,202.77.162.213,172.16.115.20,1425.0,23.0,telnet,network,dmz,darpa2000_lldos1.0,LLS_DDOS_1.0,exploit,exploit,True,LLS_DDOS_1.0,3,1,exploit,exploit,0,0
LLS_DDOS_1.0_dmz_p3_6,2000-03-07 10:33:18,202.77.162.213,172.16.115.20,669.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,LLS_DDOS_1.0,exploit,exploit,True,LLS_DDOS_1.0,3,1,exploit,exploit,0,0
LLS_DDOS_1.0_dmz_p3_7,2000-03-07 10:33:18,202.77.162.213,172.16.115.20,670.0,60268.0,60268/u,network,dmz,darpa2000_lldos1.0,LLS_DDOS_1.0,exploit,exploit,True,LLS_DDOS_1.0,3,1,exploit,exploit,0,0
LLS_DDOS_1.0_dmz_p3_8,2000-03-07 10:33:20,202.77.162.213,172.16.115.20,670.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,LLS_DDOS_1.0,exploit,exploit,True,LLS_DDOS_1.0,3,1,exploit,exploit,0,0
LLS_DDOS_1.0_dmz_p3_9,2000-03-07 10:33:20,202.77.162.213,172.16.115.20,671.0,60275.0,60275/u,network,dmz,darpa2000_lldos1.0,LLS_DDOS_1.0,exploit,exploit,True,LLS_DDOS_1.0,3,1,exploit,exploit,0,0
LLS_DDOS_1.0_dmz_p3_10,2000-03-07 10:33:22,202.77.162.213,172.16.115.20,1488.0,23.0,telnet,network,dmz,darpa2000_lldos1.0,LLS_DDOS_1.0,exploit,exploit,True,LLS_DDOS_1.0,3,1,exploit,exploit,0,0
LLS_DDOS_1.0_dmz_p3_11,2000-03-07 10:33:27,202.77.162.213,172.16.115.20,671.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,LLS_DDOS_1.0,exploit,exploit,True,LLS_DDOS_1.0,3,1,exploit,exploit,0,0
LLS_DDOS_1.0_dmz_p3_12,2000-03-07 10:33:27,202.77.162.213,172.16.115.20,672.0,60288.0,60288/u,network,dmz,darpa2000_lldos1.0,LLS_DDOS_1.0,exploit,exploit,True,LLS_DDOS_1.0,3,1,exploit,exploit,0,0
LLS_DDOS_1.0_dmz_p3_13,2000-03-07 10:33:29,202.77.162.213,172.16.115.20,672.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,LLS_DDOS_1.0,exploit,exploit,True,LLS_DDOS_1.0,3,1,exploit,exploit,0,0
LLS_DDOS_1.0_dmz_p3_14,2000-03-07 10:33:29,202.77.162.213,172.16.115.20,673.0,60299.0,60299/u,network,dmz,darpa2000_lldos1.0,LLS_DDOS_1.0,exploit,exploit,True,LLS_DDOS_1.0,3,1,exploit,exploit,0,0
LLS_DDOS_1.0_dmz_p3_15,2000-03-07 10:33:31,202.77.162.213,172.16.115.20,1495.0,23.0,telnet,network,dmz,darpa2000_lldos1.0,LLS_DDOS_1.0,exploit,exploit,True,LLS_DDOS_1.0,3,1,exploit,exploit,0,0
LLS_DDOS_1.0_dmz_p3_16,2000-03-07 10:33:32,202.77.162.213,172.16.114.10,673.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,3,0
LLS_DDOS_1.0_dmz_p3_17,2000-03-07 10:33:32,202.77.162.213,172.16.114.10,674.0,32779.0,32779/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,3,0
LLS_DDOS_1.0_dmz_p3_18,2000-03-07 10:33:32,202.77.162.213,172.16.114.10,674.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,3,0
LLS_DDOS_1.0_dmz_p3_19,2000-03-07 10:33:32,202.77.162.213,172.16.114.10,675.0,32779.0,32779/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,3,0
LLS_DDOS_1.0_dmz_p3_20,2000-03-07 10:33:32,202.77.162.213,172.16.114.10,1496.0,23.0,telnet,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,3,0
LLS_DDOS_1.0_dmz_p3_21,2000-03-07 10:33:36,202.77.162.213,172.16.114.10,675.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,3,0
LLS_DDOS_1.0_dmz_p3_22,2000-03-07 10:33:37,202.77.162.213,172.16.114.10,676.0,32779.0,32779/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,3,0
LLS_DDOS_1.0_dmz_p3_23,2000-03-07 10:33:37,202.77.162.213,172.16.114.10,676.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,3,0
LLS_DDOS_1.0_dmz_p3_24,2000-03-07 10:33:37,202.77.162.213,172.16.114.10,677.0,32779.0,32779/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,3,0
LLS_DDOS_1.0_dmz_p3_25,2000-03-07 10:33:37,202.77.162.213,172.16.114.10,1497.0,23.0,telnet,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,3,0
LLS_DDOS_1.0_dmz_p3_26,2000-03-07 10:33:41,202.77.162.213,172.16.114.10,677.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,3,0
LLS_DDOS_1.0_dmz_p3_27,2000-03-07 10:33:41,202.77.162.213,172.16.114.10,678.0,32779.0,32779/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,3,0
LLS_DDOS_1.0_dmz_p3_28,2000-03-07 10:33:41,202.77.162.213,172.16.114.10,678.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,3,0
LLS_DDOS_1.0_dmz_p3_29,2000-03-07 10:33:41,202.77.162.213,172.16.114.10,679.0,32779.0,32779/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,3,0
LLS_DDOS_1.0_dmz_p3_30,2000-03-07 10:33:41,202.77.162.213,172.16.114.10,1498.0,23.0,telnet,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,3,0
LLS_DDOS_1.0_dmz_p3_31,2000-03-07 10:33:45,202.77.162.213,172.16.114.20,679.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,2,0
LLS_DDOS_1.0_dmz_p3_32,2000-03-07 10:33:45,202.77.162.213,172.16.114.20,680.0,32773.0,32773/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,2,0
LLS_DDOS_1.0_dmz_p3_33,2000-03-07 10:33:47,202.77.162.213,172.16.114.20,680.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,2,0
LLS_DDOS_1.0_dmz_p3_34,2000-03-07 10:33:47,202.77.162.213,172.16.114.20,681.0,32773.0,32773/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,2,0
LLS_DDOS_1.0_dmz_p3_35,2000-03-07 10:33:49,202.77.162.213,172.16.114.20,1503.0,23.0,telnet,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,2,0
LLS_DDOS_1.0_dmz_p3_36,2000-03-07 10:33:54,202.77.162.213,172.16.114.20,681.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,2,0
LLS_DDOS_1.0_dmz_p3_37,2000-03-07 10:33:54,202.77.162.213,172.16.114.20,682.0,32773.0,32773/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,2,0
LLS_DDOS_1.0_dmz_p3_38,2000-03-07 10:33:56,202.77.162.213,172.16.114.20,682.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,2,0
LLS_DDOS_1.0_dmz_p3_39,2000-03-07 10:33:56,202.77.162.213,172.16.114.20,683.0,32773.0,32773/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,2,0
LLS_DDOS_1.0_dmz_p3_40,2000-03-07 10:33:58,202.77.162.213,172.16.114.20,1504.0,23.0,telnet,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,2,0
LLS_DDOS_1.0_dmz_p3_41,2000-03-07 10:34:02,202.77.162.213,172.16.114.20,683.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,2,0
LLS_DDOS_1.0_dmz_p3_42,2000-03-07 10:34:02,202.77.162.213,172.16.114.20,684.0,32773.0,32773/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,2,0
LLS_DDOS_1.0_dmz_p3_43,2000-03-07 10:34:04,202.77.162.213,172.16.114.20,684.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,2,0
LLS_DDOS_1.0_dmz_p3_44,2000-03-07 10:34:04,202.77.162.213,172.16.114.20,685.0,32773.0,32773/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,2,0
LLS_DDOS_1.0_dmz_p3_45,2000-03-07 10:34:06,202.77.162.213,172.16.114.20,1505.0,23.0,telnet,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,2,0
LLS_DDOS_1.0_dmz_p3_46,2000-03-07 10:34:10,202.77.162.213,172.16.114.30,685.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,5,0
LLS_DDOS_1.0_dmz_p3_47,2000-03-07 10:34:10,202.77.162.213,172.16.114.30,686.0,32772.0,32772/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,5,0
LLS_DDOS_1.0_dmz_p3_48,2000-03-07 10:34:12,202.77.162.213,172.16.114.30,686.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,5,0
LLS_DDOS_1.0_dmz_p3_49,2000-03-07 10:34:12,202.77.162.213,172.16.114.30,687.0,32772.0,32772/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,5,0
LLS_DDOS_1.0_dmz_p3_50,2000-03-07 10:34:14,202.77.162.213,172.16.114.30,1506.0,23.0,telnet,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,5,0
LLS_DDOS_1.0_dmz_p3_51,2000-03-07 10:34:19,202.77.162.213,172.16.114.30,687.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,5,0
LLS_DDOS_1.0_dmz_p3_52,2000-03-07 10:34:19,202.77.162.213,172.16.114.30,688.0,32772.0,32772/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,5,0
LLS_DDOS_1.0_dmz_p3_53,2000-03-07 10:34:21,202.77.162.213,172.16.114.30,688.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,5,0
LLS_DDOS_1.0_dmz_p3_54,2000-03-07 10:34:21,202.77.162.213,172.16.114.30,689.0,32772.0,32772/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,5,0
LLS_DDOS_1.0_dmz_p3_55,2000-03-07 10:34:23,202.77.162.213,172.16.114.30,1507.0,23.0,telnet,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,5,0
LLS_DDOS_1.0_dmz_p3_56,2000-03-07 10:34:28,202.77.162.213,172.16.114.30,689.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,5,0
LLS_DDOS_1.0_dmz_p3_57,2000-03-07 10:34:28,202.77.162.213,172.16.114.30,690.0,32772.0,32772/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,5,0
LLS_DDOS_1.0_dmz_p3_58,2000-03-07 10:34:30,202.77.162.213,172.16.114.30,690.0,111.0,sunrpc/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,5,0
LLS_DDOS_1.0_dmz_p3_59,2000-03-07 10:34:30,202.77.162.213,172.16.114.30,691.0,32772.0,32772/u,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,5,0
LLS_DDOS_1.0_dmz_p3_60,2000-03-07 10:34:32,202.77.162.213,172.16.114.30,1531.0,23.0,telnet,network,dmz,darpa2000_lldos1.0,NONE,exploit,exploit,False,LLS_DDOS_1.0,3,1,exploit,exploit,5,0
